"Name","Path","Priority","PlatformSpecificIssues","Dependencies","LastModified","SizeKB"
"cleanup-renaming-artifacts.ps1","C:\Users\Chris\cFish.io\scripts\cleanup-renaming-artifacts.ps1","Critical","Uses hardcoded backslashes, Uses hardcoded OS-specific paths","","3/12/2025 6:55:00 PM","6.72"
"cleanup-renaming-artifacts.ps1","C:\Users\Chris\cFish.io\scripts\cleanup-renaming-artifacts.ps1","Critical","Uses hardcoded backslashes, Uses hardcoded OS-specific paths","","3/12/2025 6:55:00 PM","6.72"
"cross-platform-test.ps1","C:\Users\Chris\cFish.io\scripts\cross-platform-test.ps1","Critical","Uses hardcoded backslashes, Uses platform-specific command shells","Executes external commands","3/12/2025 10:41:20 PM","12.75"
"cross-platform-test.ps1","C:\Users\Chris\cFish.io\scripts\cross-platform-test.ps1","Critical","Uses hardcoded backslashes, Uses platform-specific command shells","Executes external commands","3/12/2025 10:41:20 PM","12.75"
"prepare-powershell-review.ps1","C:\Users\Chris\cFish.io\scripts\prepare-powershell-review.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:16:06 PM","15.98"
"prepare-powershell-review.ps1","C:\Users\Chris\cFish.io\scripts\prepare-powershell-review.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:16:06 PM","15.98"
"prioritized-sync.ps1","C:\Users\Chris\cFish.io\scripts\prioritized-sync.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 9:08:11 PM","9.05"
"prioritized-sync.ps1","C:\Users\Chris\cFish.io\scripts\prioritized-sync.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 9:08:11 PM","9.05"
"rename-tydisync-files.ps1","C:\Users\Chris\cFish.io\rename-tydisync-files.ps1","Critical","","","3/12/2025 5:41:40 PM","2.8"
"rename-tydisync-files.ps1","C:\Users\Chris\cFish.io\archive\renaming-scripts\rename-tydisync-files.ps1","Critical","","","3/12/2025 5:41:40 PM","2.8"
"robust-error-handling.ps1","C:\Users\Chris\cFish.io\scripts\robust-error-handling.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:17:13 PM","24.6"
"robust-error-handling.ps1","C:\Users\Chris\cFish.io\scripts\robust-error-handling.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:17:13 PM","24.6"
"test-backup-functionality.ps1","C:\Users\Chris\cFish.io\scripts\test-backup-functionality.ps1","Critical","","","3/12/2025 9:26:33 PM","4.79"
"test-backup-functionality.ps1","C:\Users\Chris\cFish.io\scripts\test-backup-functionality.ps1","Critical","","","3/12/2025 9:26:33 PM","4.79"
"test-cross-platform-compatibility.ps1","C:\Users\Chris\cFish.io\scripts\test-cross-platform-compatibility.ps1","Critical","Uses hardcoded backslashes, Uses platform-specific command shells","","3/12/2025 9:34:47 PM","8.26"
"test-cross-platform-compatibility.ps1","C:\Users\Chris\cFish.io\scripts\test-cross-platform-compatibility.ps1","Critical","Uses hardcoded backslashes, Uses platform-specific command shells","","3/12/2025 9:34:47 PM","8.26"
"update-command-chaining.ps1","C:\Users\Chris\cFish.io\scripts\update-command-chaining.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:17:52 PM","3.89"
"update-command-chaining.ps1","C:\Users\Chris\cFish.io\backups\command-chaining-update\update-command-chaining.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 9:50:54 PM","3.89"
"update-command-chaining.ps1","C:\Users\Chris\cFish.io\scripts\update-command-chaining.ps1","Critical","Uses hardcoded backslashes","","3/12/2025 10:17:52 PM","3.89"
"run-cross-platform-tests-ps7.ps1","C:\Users\Chris\cFish.io\scripts\ps7-tests\run-cross-platform-tests-ps7.ps1","Low","Uses hardcoded backslashes","","3/12/2025 10:07:17 PM","3.99"
"run-cross-platform-tests-ps7.ps1","C:\Users\Chris\cFish.io\scripts\ps7-tests\run-cross-platform-tests-ps7.ps1","Low","Uses hardcoded backslashes","","3/12/2025 10:07:17 PM","3.99"
"run-tests.ps1","C:\Users\Chris\cFish.io\test-cross-platform\run-tests.ps1","Low","Uses hardcoded backslashes","","3/12/2025 11:02:34 PM","4.27"
"setup-cursor-integration.ps1","C:\Users\Chris\cFish.io\scripts\setup-cursor-integration.ps1","Low","Uses platform-specific command shells","","3/12/2025 6:46:57 AM","1.33"
"setup-cursor-integration.ps1","C:\Users\Chris\cFish.io\scripts\setup-cursor-integration.ps1","Low","Uses platform-specific command shells","","3/12/2025 6:46:57 AM","1.33"
"test-path-handling.ps1","C:\Users\Chris\cFish.io\test-cross-platform\powershell-core-windows\scripts\test-path-handling.ps1","Low","Uses hardcoded backslashes, Uses platform-specific command shells","","3/12/2025 11:02:34 PM","2.82"
"test-path-handling.ps1","C:\Users\Chris\cFish.io\test-cross-platform\powershell-core-linux\scripts\test-path-handling.ps1","Low","Uses hardcoded backslashes, Uses platform-specific command shells","","3/12/2025 11:02:34 PM","2.82"
"test-path-handling.ps1","C:\Users\Chris\cFish.io\test-cross-platform\windows-powershell\scripts\test-path-handling.ps1","Low","Uses hardcoded backslashes, Uses platform-specific command shells","","3/12/2025 11:02:33 PM","2.82"
"create-assessment-report.ps1","C:\Users\Chris\cFish.io\create-assessment-report.ps1","Medium","Uses hardcoded backslashes","","3/12/2025 11:03:12 PM","2.71"
